Country,Shipment_Mode,Qauntity_of_pack,Pack_Price,Weight_Kg,Freight_Cost_USD,Product_Insurance_USD
Côte dIvoire,Air,30,22.5,1195,8758.37,126.61
Haiti,Air,30,20.0,1189,7296.97,123.7
Vietnam,Air,60,10.99,3572,10657.33,463.71
Zimbabwe,Truck,60,2.42,6003,7423.38,206.26
Rwanda,Air,100,70.0,88,3936.25,52.96
Mozambique,Air,100,80.0,3890,29244.02,787.45
Uganda,Truck,60,11.22,843,6470.51,159.66
Rwanda,Air,100,77.7,1703,25501.1,961.54
Haiti,Air,30,3.64,1679,18028.41,88.5
South Africa,Ocean,30,4.53,10980,15331.5,1249.2
South Africa,Ocean,60,2.79,16729,25199.31,956.42
Côte dIvoire,Air,180,16.96,933,3409.91,108.73
South Sudan,Air,60,7.02,2652,22788.95,61.02
Mozambique,Truck,30,4.32,2068,3936.86,167.15
Haiti,Air,60,3.4,100,1651.0,5.75
Uganda,Air,30,10.52,2291,10542.15,225.26
Botswana,Air,20,32.0,166,1225.17,25.6
Vietnam,Air,60,1.81,2350,10627.8,103.22
Nigeria,Air Charter,30,10.92,5554,13398.06,1040.52
Vietnam,Air,120,82.2,9,2709.98,0.97
Vietnam,Air,60,6.9,2165,4443.97,331.07
Botswana,Air,100,70.0,4,383.65,2.06
Ethiopia,Air,60,9.5,899,6483.0,147.3
Zimbabwe,Truck,60,4.7,1838,5530.11,519.43
Mozambique,Air,100,72.0,2655,25052.69,1270.08
Côte dIvoire,Air,60,9.5,1278,1742.12,122.89
Nigeria,Air Charter,60,1.49,789,7329.83,35.04
Vietnam,Air,60,1.8,606,1328.13,11.86
Tanzania,Air,100,80.0,600,14398.69,165.0
Uganda,Truck,100,1.3,2978,5458.46,20.05
Botswana,Air,20,32.0,3,1225.17,0.26
Haiti,Air,90,9.3,163,1659.21,23.33
Zambia,Truck,60,2.44,17125,7317.47,64.54
Cameroon,Air,60,7.0,1353,13924.23,145.79
Nigeria,Air Charter,30,19.92,277,18495.9,78.52
Tanzania,Air,30,8.53,178,1854.35,45.02
Mozambique,Truck,60,2.49,1307,1482.7,68.34
Haiti,Air,60,8.76,6967,75688.58,1029.35
Uganda,Air,60,5.94,304,2808.12,18.85
Angola,Air,300,30.82,492,4281.43,18.3
Rwanda,Air,60,3.09,1041,730.82,181.24
Nigeria,Air,60,9.45,2033,15307.62,215.87
Vietnam,Air,336,76.72,170,4256.38,9.92
South Sudan,Air,30,4.7,1309,12356.0,8.41
Haiti,Air,30,1.25,143,2251.42,3.39
Nigeria,Air Charter,30,19.92,3289,9736.1,1288.43
Côte dIvoire,Truck,60,4.6,122,1799.58,14.79
Haiti,Air,240,13.6,746,6036.96,6.57
Rwanda,Air,30,4.79,9117,98763.02,411.05
Côte dIvoire,Truck,60,7.78,18204,36194.84,926.05
Nigeria,Air Charter,30,13.52,49,181.92,7.76
Zambia,Truck,30,11.75,16961,16981.15,3560.65
Nigeria,Air Charter,60,7.53,553,9736.1,163.58
Uganda,Truck,60,8.11,6061,6901.96,383.09
Nigeria,Air Charter,120,18.9,4710,8228.24,371.1
Rwanda,Air,300,30.82,253,2455.7,11.02
Nigeria,Air,60,9.5,447,2230.0,5.58
Ethiopia,Air,60,7.21,276,2211.22,77.72
Vietnam,Air,60,7.4,836,5136.08,115.94
Zimbabwe,Air,60,7.0,247,3584.08,8.78
Burundi,Air,100,80.0,822,21348.51,173.86
Rwanda,Ocean,30,13.0,4426,66916.5,716.83
Haiti,Air,240,1.93,1840,14866.14,16.27
Côte dIvoire,Air,60,9.5,368,824.37,38.67
Rwanda,Truck,60,8.11,1851,5445.73,159.13
Côte dIvoire,Air,180,16.96,1061,2454.99,118.31
Tanzania,Truck,30,19.92,11129,13838.17,1787.2
Tanzania,Truck,60,11.46,2345,2456.74,352.64
South Sudan,Air,240,1.95,1624,15446.4,11.81
Tanzania,Truck,60,2.15,2346,1462.81,75.97
Tanzania,Air,100,80.0,73,1806.81,13.82
Burundi,Air,100,80.0,577,14493.81,134.59
Mozambique,Truck,30,11.15,18838,7928.11,1104.38
Nigeria,Air Charter,120,29.68,6808,21347.12,1018.23
Zambia,Truck,60,7.21,1405,3949.19,309.31
Mozambique,Truck,30,4.22,5406,7664.01,317.57
Swaziland,Air,100,80.0,100,2274.64,26.92
Angola,Air,30,2.24,21,840.17,1.0
Haiti,Air,240,2.1,538,7100.67,4.84
Rwanda,Air,1,24.5,1992,26266.34,90.56
Tanzania,Truck,60,8.58,6560,8057.2,625.35
Swaziland,Air,30,6.85,239,2393.34,31.48
Uganda,Truck,60,8.58,5732,25118.88,453.38
Tanzania,Truck,240,12.5,821,1698.83,44.88
Nigeria,Air Charter,30,13.27,858,16532.5,130.23
Uganda,Air,20,32.0,566,3603.93,62.6
Vietnam,Air,60,7.08,941,1934.17,100.83
Mozambique,Air,100,80.0,267,3453.53,63.83
Uganda,Air,60,6.11,580,6637.05,102.75
Côte dIvoire,Air,60,2.44,283,4969.95,28.25
Nigeria,Air,20,32.0,1252,5850.25,138.03
Zambia,Truck,60,7.0,22497,11941.65,610.12
Tanzania,Air,30,3.81,7867,21567.19,480.75
Uganda,Air,30,27.6,86,798.43,22.7
Cameroon,Air,100,350.0,75,1406.75,12.99
Côte dIvoire,Air,240,1.9,688,1211.48,7.45
Tanzania,Truck,240,16.15,1592,6708.25,140.51
Zambia,Truck,30,11.5,7686,6759.28,2075.82
Vietnam,Air,30,23.26,21,583.66,5.67
Côte dIvoire,Air,60,11.22,26409,60432.88,2963.15
South Africa,Ocean,240,2.12,2068,3961.69,19.55
Tanzania,Truck,30,19.92,4560,1047.17,1325.8
Rwanda,Air,300,30.82,316,2905.84,9.14
Uganda,Air,100,1.3,2385,10898.12,17.75
Côte dIvoire,Air,240,1.9,1208,4329.01,13.03
Nigeria,Air Charter,60,4.0,576,30936.1,29.61
Haiti,Air,60,27.53,862,9711.2,11.89
Zimbabwe,Air,60,4.0,8894,102.67,8.11
Sudan,Air,20,32.0,71,1626.67,10.93
Zimbabwe,Air Charter,30,4.62,1468,12091.91,76.05
Tanzania,Air,90,9.3,949,4673.77,143.8
Zimbabwe,Truck,30,4.22,257,320.43,29.24
Tanzania,Air,60,5.43,632,4168.19,77.24
Côte dIvoire,Air,240,1.9,1632,5121.68,17.78
Guatemala,Air,5,70.2,29,209.37,8.69
Guyana,Air,100,71.99,100,1928.93,50.91
Swaziland,Air,20,32.0,59,1099.39,7.18
Nigeria,Air Charter,60,2.51,4618,13398.06,269.18
Côte dIvoire,Air,100,71.99,57,1796.68,28.8
Vietnam,Air,60,11.15,2011,11648.31,356.22
Botswana,Air,100,350.0,39,604.0,5.6
Côte dIvoire,Air,60,7.0,5340,5028.04,273.54
South Africa,Ocean,60,2.47,10302,13677.69,1131.15
Côte dIvoire,Air,60,7.4,1316,3056.96,151.94
Côte dIvoire,Air,60,2.73,409,1083.3,23.11
Rwanda,Ocean,60,2.43,24219,23736.39,922.6
Zimbabwe,Air,60,5.94,1128,13330.73,59.05
Uganda,Truck,60,11.22,393,1694.0,73.76
Haiti,Ocean,90,5.5,6385,8768.76,25.04
Nigeria,Air,100,89.0,295,7444.13,76.61
South Africa,Ocean,240,2.12,12974,11138.89,159.98
Ghana,Air,30,1.56,951,7326.62,23.74
Nigeria,Air,60,3.2,60,1981.1,6.69
Uganda,Truck,60,8.11,18737,9857.35,833.71
Uganda,Air,240,2.1,1600,10314.28,14.43
Ethiopia,Air,60,8.76,1454,5187.5,302.54
Zambia,Truck,30,12.3,2004,4356.75,277.62
Nigeria,Air,100,89.0,2571,37297.95,580.06
Ethiopia,Ocean,120,33.6,3476,11729.82,759.69
Swaziland,Air,30,8.23,2641,7168.8,407.38
Zambia,Truck,30,12.01,3817,4579.42,960.8
Ethiopia,Air,1,24.5,13749,152368.7,772.75
Kenya,Air,100,80.0,1098,10929.38,924.67
Côte dIvoire,Air,25,20.0,422,5054.68,44.68
Ethiopia,Air,1,23.0,2535,20083.74,158.23
Côte dIvoire,Truck,60,2.76,5466,19079.68,39.0
Côte dIvoire,Truck,60,1.99,47,270.74,1.43
Vietnam,Air,30,3.24,2321,3353.3,108.96
Tanzania,Truck,60,21.42,640,2751.0,294.45
Rwanda,Air,30,24.0,571,5161.55,82.79
Nigeria,Air Charter,60,7.72,87076,194623.44,2541.95
Tanzania,Truck,30,6.07,2006,3300.95,204.6
Vietnam,Air,30,11.15,4585,6881.65,559.88
Zambia,Truck,60,2.26,2504,12315.5,72.66
Côte dIvoire,Air,60,1.32,12,2503.34,0.45
Uganda,Truck,60,8.76,275,11991.12,79.32
Zambia,Ocean,240,1.95,1487,5447.21,12.91
Zambia,Truck,60,2.33,3144,7317.47,189.41
Haiti,Air,30,5.54,5456,53775.56,395.56
Côte dIvoire,Truck,30,3.81,4026,15677.98,10.68
Zambia,Truck,60,8.15,76,1062.5,20.67
Côte dIvoire,Air,60,4.6,338,3845.67,46.61
Namibia,Air,30,3.5,1812,8683.99,75.74
Vietnam,Air,60,7.5,2336,21150.56,300.0
"Congo, DRC",Air,30,6.08,70,1524.5,0.17
Angola,Truck,20,32.0,54,952.04,7.68
Zambia,Air,30,11.0,8645,14041.17,2156.0
Zimbabwe,Truck,60,3.89,5103,11604.57,442.91
Namibia,Air,200,1.34,98,1770.43,2.1
Nigeria,Air Charter,30,6.42,40,15322.73,3.82
Zambia,Truck,60,3.89,117,5900.0,96.24
Tanzania,Truck,30,5.74,9400,2317.16,10.95
Mozambique,Air,20,32.0,1112,18669.96,306.67
Rwanda,Truck,120,20.22,2518,33986.07,279.96
Nigeria,Air,30,26.25,1566,10624.04,252.0
Botswana,Air,20,32.0,2,592.46,0.31
Haiti,Air,100,100.0,1624,16994.9,494.8
Côte dIvoire,Air,100,80.0,287,7024.86,66.85
South Africa,Air,30,7.82,3728,3646.13,914.6
Haiti,Air,60,6.6,1777,15330.56,135.7
Haiti,Air,100,350.0,187,3254.23,64.14
Ethiopia,Air,20,27.0,1341,6112.63,196.39
Nigeria,Air,100,89.0,2755,25709.5,382.16
Rwanda,Air,30,5.99,4227,33008.05,699.83
Tanzania,Air,100,80.0,499,9894.85,117.1
Zimbabwe,Air Charter,30,4.65,1764,13959.22,86.04
Haiti,Air,60,8.15,181,2944.21,41.08
Guinea,Air,100,72.0,32,1804.2,7.76
Nigeria,Air,100,89.0,3090,60185.33,1029.04
Mozambique,Truck,60,8.58,7482,5846.08,413.67
Zimbabwe,Air Charter,60,2.2,9832,68350.52,357.33
Côte dIvoire,Air,60,9.5,1897,3826.17,308.32
Côte dIvoire,Air,30,4.45,4720,18611.92,551.24
Haiti,Air,300,30.82,38,1347.0,0.38
Guyana,Air,60,8.15,34,1920.0,7.35
Rwanda,Air,120,29.68,2003,32401.62,313.79
Uganda,Air,60,2.44,336,2528.69,33.41
Côte dIvoire,Truck,30,5.5,372,2333.91,30.84
Rwanda,Air,144,36.69,27,1253.71,11.71
South Sudan,Air,60,1.99,15,735.24,0.66
Uganda,Air,30,18.34,4,390.81,3.02
Guyana,Air,25,37.5,34,648.27,7.94
Mozambique,Truck,60,8.76,2078,2400.25,42.65
Namibia,Air,100,70.0,115,1498.16,75.46
Uganda,Truck,90,7.3,25,759.79,3.05
Uganda,Air,30,19.92,909,5166.39,114.28
Côte dIvoire,Air,180,50.0,257,1167.97,109.42
Zambia,Air,60,9.5,3254,13267.3,611.72
Vietnam,Air,120,82.2,266,6937.66,316.34
Nigeria,Air Charter,30,11.75,122,6147.18,33.64
Vietnam,Air,60,2.0,2806,18207.5,66.0
Mozambique,Air,60,7.4,14083,11053.53,864.46
Côte dIvoire,Air,25,20.0,136,2094.08,19.6
Zimbabwe,Truck,60,2.45,1406,5479.15,36.68
Zambia,Air,20,32.0,2379,21686.21,439.04
South Africa,Air,240,3.0,4442,3283.59,75.31
Vietnam,Air,60,5.74,1481,6390.83,186.13
Mozambique,Truck,60,11.22,20316,25790.82,2650.15
Namibia,Air,30,10.5,3402,17118.8,314.75
Nigeria,Air Charter,30,7.11,5252,21347.13,528.32
Malawi,Air,100,80.0,207,5248.93,45.62
Zimbabwe,Truck,30,12.11,2266,9405.81,302.0
Zimbabwe,Truck,60,1.99,25880,46111.55,49.19
Nigeria,Air,30,17.0,4,213.75,1.31
Haiti,Air,60,7.0,29,260.0,1.65
Côte dIvoire,Air,60,21.42,257,1211.48,108.74
Rwanda,Air,30,16.5,752,4436.76,49.71
Nigeria,Air Charter,60,6.6,32,5798.14,224.9
Uganda,Air,60,11.8,2283,13586.1,462.56
Sudan,Air,100,8.0,2,1201.72,0.33
Côte dIvoire,Air,25,20.5,469,5463.16,35.5
South Africa,Ocean,240,2.12,3542,6660.05,46.77
Uganda,Air,30,22.5,420,3900.39,46.34
Côte dIvoire,Air,60,30.0,492,5150.82,202.84
Rwanda,Air,30,16.5,1150,9898.8,105.36
South Sudan,Air,100,8.0,331,7539.52,7.18
Tanzania,Air,60,8.13,4609,17581.92,366.33
Zimbabwe,Air,30,2.0,4252,15696.7,5.12
Tanzania,Air,20,32.0,82,1353.35,8.29
Vietnam,Air,60,8.61,1015,3796.95,17.01
Côte dIvoire,Air,60,9.35,2583,7608.7,524.56
Vietnam,Air,60,2.9,507,4159.45,46.77
Rwanda,Air,60,9.0,3080,33235.44,683.3
Haiti,Air,60,2.49,37,1845.9,1.03
Côte dIvoire,Air,30,16.73,779,4646.13,167.47
Zimbabwe,Truck,60,7.12,8955,14958.2,1060.6
Mozambique,Truck,60,7.27,36920,7852.98,899.3
Namibia,Air,20,32.0,79,1736.18,13.8
Kenya,Air,100,89.0,1378,14842.19,998.1
Zimbabwe,Air,100,80.0,1004,18612.64,259.64
Mozambique,Air,30,4.04,108,832.5,9.0
Uganda,Truck,120,29.68,1859,10611.0,287.08
Uganda,Truck,60,2.42,1285,6265.36,77.3
Ethiopia,Air,240,2.02,1190,6770.6,10.0
Haiti,Air,240,1.97,4213,38515.8,6.3
Uganda,Truck,60,3.6,382,1587.3,23.63
Nigeria,Air,60,9.62,50634,51090.0,2757.02
Nigeria,Air,20,32.0,290,15450.88,251.56
Vietnam,Air,30,7.75,909,5964.52,140.36
Zimbabwe,Truck,60,1.9,212,2143.48,15.1
Rwanda,Truck,60,8.11,1755,4328.9,116.81
Uganda,Air,240,1.95,5262,27823.07,45.02
Rwanda,Truck,30,11.15,7248,11571.94,889.62
Zimbabwe,Air,30,12.42,4256,5145.86,36.96
Zimbabwe,Air,90,9.3,884,8280.73,135.41
Zimbabwe,Air,60,7.4,7806,45047.32,440.92
Vietnam,Air,30,17.0,76,2282.57,27.2
Rwanda,Air,1,24.5,2712,37680.04,102.46
Nigeria,Air Charter,30,11.75,2023,9341.49,575.75
Haiti,Air,1,24.5,300,3446.68,11.33
Ethiopia,Air,20,27.0,3231,15619.2,474.37
Uganda,Air,30,3.91,5000,24889.0,328.91
Uganda,Air,60,8.76,5748,38957.51,412.07
Nigeria,Air,60,9.81,18953,18461.22,1828.12
Vietnam,Air,60,1.45,432,7444.35,21.52
Mozambique,Truck,60,1.74,39,30.49,1.16
Uganda,Air,240,1.95,7464,4605.44,64.35
Côte dIvoire,Truck,30,13.15,121,1076.5,15.33
South Africa,Air,60,7.43,1273,3296.58,381.25
Uganda,Truck,60,8.26,8057,10734.13,154.46
Nigeria,Air Charter,60,3.89,3376,29674.91,279.92
Côte dIvoire,Air,40,76.0,522,6924.83,57.88
Nigeria,Air Charter,60,2.26,12785,37242.5,106.37
Côte dIvoire,Air,20,29.0,621,7811.66,98.55
Swaziland,Air,30,14.1,4900,29478.42,970.15
Nigeria,Air,120,36.16,130,1599.22,35.44
Mozambique,Truck,60,6.6,6842,8689.22,484.28
Côte dIvoire,Air,30,20.0,343,3978.49,51.4
Tanzania,Truck,60,25.45,1630,2217.5,793.12
Zimbabwe,Air,1,5.0,864,14314.83,12.37
Vietnam,Air,120,60.82,824,3216.15,325.05
Vietnam,Air,60,8.55,902,7421.81,167.23
Uganda,Air,60,7.4,204,3477.0,39.77
Zimbabwe,Truck,60,3.6,13469,16679.87,67.52
Zimbabwe,Truck,30,4.81,2277,12000.0,782.54
Zimbabwe,Truck,120,21.78,2293,4529.67,231.67
Cameroon,Air,30,4.84,4123,28778.76,239.24
"Congo, DRC",Air,30,1.3,30,1678.57,0.32
Nigeria,Air,30,26.25,300,2204.0,141.08
Ethiopia,Air,60,2.66,1070,6153.8,63.08
Côte dIvoire,Air,120,30.82,4213,27376.29,854.33
Haiti,Air,200,1.4,39,6811.39,1.1
Uganda,Truck,60,8.58,2234,6582.95,167.64
Uganda,Air,120,66.6,14,527.0,9.34
Zambia,Air,100,80.0,2439,30885.26,493.44
Nigeria,Air Charter,90,9.3,65,177.0,6.07
Haiti,Air,30,20.0,4,970.79,1.35
Haiti,Air,100,67.0,164,1802.14,102.38
Uganda,Truck,30,4.52,6960,29545.05,968.7
Rwanda,Air,100,70.0,1154,46723.42,697.66
Nigeria,Air,100,89.0,2307,26294.95,595.1
Nigeria,Air,30,11.72,621,4099.51,78.76
Zambia,Truck,30,11.0,7736,10069.54,2156.0
Sudan,Air,20,32.0,21,593.72,3.43
Zimbabwe,Truck,30,12.01,342,1648.64,76.86
"Congo, DRC",Air,90,9.3,266,4147.79,3.28
Côte dIvoire,Air,100,80.0,917,16661.34,208.21
Tanzania,Air,60,3.57,1050,3291.0,67.44
Guyana,Air,60,8.15,12,764.62,2.73
Nigeria,Air,60,1.52,1054,2722.38,1.09
Côte dIvoire,Air,180,16.96,1006,2530.73,111.53
Mozambique,Truck,30,3.21,9511,10217.02,41.94
Guyana,Air,20,32.0,564,5806.53,116.32
Zimbabwe,Truck,30,9.6,21668,23559.93,921.89
Haiti,Air,120,37.5,183,2418.62,59.83
Côte dIvoire,Air,20,27.0,115,7883.32,12.81
Vietnam,Air,30,23.26,56,520.19,10.76
Haiti,Air,60,2.44,126,1350.33,11.02
Mozambique,Air,60,2.66,210,1894.2,15.64
Zimbabwe,Truck,60,2.26,2520,15000.0,114.25
South Africa,Ocean,30,4.26,20896,16429.13,1729.93
"Congo, DRC",Air,1000,22.45,578,3089.83,19.99
Uganda,Truck,30,19.92,720,4647.66,216.93
Nigeria,Air,60,11.4,1901,18638.84,373.1
Uganda,Ocean,30,3.19,4334,8144.11,281.54
Côte dIvoire,Air,180,50.0,518,1434.5,215.6
Ethiopia,Air,60,3.04,732,2963.8,68.31
Mozambique,Truck,60,2.44,3545,3599.76,10.07
Guyana,Air,100,4.6,16,693.16,0.67
Tanzania,Air,30,10.5,28168,127285.48,2597.7
Haiti,Ocean,30,10.25,5640,9481.92,405.99
Haiti,Air,120,20.48,497,5819.7,39.26
Rwanda,Air,240,13.7,724,4520.04,44.42
Vietnam,Air,120,82.19,226,2923.46,131.5
Zambia,Air,100,72.0,1304,19502.09,419.13
"Congo, DRC",Air,1000,25.3,488,7393.13,21.35
Côte dIvoire,Air,120,36.16,1523,10051.89,425.24
Ethiopia,Air,1,23.0,5057,44347.71,257.53
Nigeria,Air,100,89.0,3800,58592.54,1030.8
Côte dIvoire,Air,60,15.5,842,8815.65,132.6
Namibia,Air,25,75.0,760,5213.02,139.65
Côte dIvoire,Air,60,9.35,620,2739.3,124.36
Nigeria,Air Charter,30,4.22,1086,15322.73,110.03
Côte dIvoire,Air,30,20.0,608,4568.92,111.33
Sudan,Air,100,80.0,104,2023.76,60.37
"Congo, DRC",Air,60,8.26,46,456.17,1.12
Zambia,Air,300,30.82,757,10365.14,28.97
Rwanda,Air,1,24.5,1992,26266.34,90.56
Guyana,Air,30,12.42,441,6141.25,112.67
Mozambique,Air,20,32.0,1462,23097.81,263.42
Zambia,Air,60,27.53,822,3303.52,363.44
South Africa,Air,60,2.92,4806,6369.79,256.55
Côte dIvoire,Air,20,29.0,763,7153.63,68.16
Uganda,Air,60,2.44,113,3504.8,1.32
Mozambique,Truck,240,1.95,12489,9458.64,135.13
South Africa,Ocean,30,6.86,10156,13731.6,1697.85
Côte dIvoire,Air,100,77.7,680,11463.46,502.56
Rwanda,Air,100,0.01,99,0.75,0.02
Haiti,Air,300,36.16,100,3806.01,3.9
Uganda,Air,60,2.16,117,2005.48,6.45
South Africa,Ocean,30,4.51,4972,14439.19,435.25
Lesotho,Air,100,80.0,856,11063.78,173.03
Zambia,Air,100,80.0,1159,15174.53,235.45
Tanzania,Air,30,23.67,363,777.0,139.18
Côte dIvoire,Truck,30,4.62,4426,14734.92,36.7
Nigeria,Air Charter,30,10.54,5481,12601.07,1056.61
Guyana,Air,30,5.74,196,3009.33,12.73
Vietnam,Air,30,10.5,2982,8036.88,276.03
Vietnam,Air,60,2.43,5359,18473.57,47.27
Zimbabwe,Truck,90,9.71,103,1224.02,16.98
Uganda,Air,120,41.1,547,2437.63,4.83
Uganda,Air,60,7.27,3988,39037.7,230.94
Ethiopia,Air,60,2.44,425,2978.5,42.09
Rwanda,Air,240,2.1,575,4095.24,3.9
Côte dIvoire,Air,60,7.21,671,8758.36,190.27
Ethiopia,Air,30,10.62,4593,16901.37,602.1
Uganda,Air,30,4.45,20269,132890.27,578.93
Côte dIvoire,Air,60,11.35,2047,6739.08,404.43
Zambia,Air,100,80.0,1363,22171.8,672.51
Uganda,Truck,60,11.22,5134,9348.0,0.64
South Africa,Ocean,60,2.43,3347,7414.66,300.71
Côte dIvoire,Truck,60,7.72,2907,11320.56,391.59
Haiti,Air,60,8.76,1077,12016.69,226.64
Vietnam,Air,60,8.25,1951,13083.7,355.74
Mozambique,Truck,60,1.4,485,947.52,1.46
Côte dIvoire,Air,200,1.52,232,1704.79,5.66
Haiti,Air,60,1.9,107,1779.74,1.93
Nigeria,Air Charter,60,11.22,789,6147.18,145.14
Rwanda,Air,60,6.85,204,1949.64,10.66
Uganda,Air,60,2.25,1863,6757.18,42.13
South Africa,Ocean,60,2.87,4194,17278.96,402.65
Côte dIvoire,Truck,240,1.95,1663,1102.3,14.31
Vietnam,Air,60,4.8,3998,12974.12,204.49
Guyana,Air,240,1.95,239,3106.89,1.93
Kenya,Air,100,89.0,1247,13765.81,1389.82
Zambia,Truck,30,12.01,3925,2196.18,1056.88
Mozambique,Air,60,7.4,5778,20299.0,734.08
Tanzania,Air,300,30.82,278,5656.74,9.63
Haiti,Air,60,3.6,811,5915.63,29.11
Rwanda,Air,30,3.55,12,1301.94,0.84
Uganda,Truck,30,4.59,2885,2564.94,129.12
Mozambique,Truck,60,13.5,2298,3733.57,358.78
South Africa,Ocean,30,6.47,7991,9972.68,1202.01
South Africa,Ocean,30,6.86,5624,7378.63,933.82
Haiti,Ocean,30,4.6,426,2251.94,23.76
Nigeria,Air,100,80.0,1920,30697.91,1002.42
Côte dIvoire,Air,60,8.76,19,1133.0,3.67
Vietnam,Air,120,82.2,1348,10670.09,980.04
Uganda,Air,100,80.0,1624,14692.8,328.96
Namibia,Air,20,32.0,500,5061.46,96.59
Uganda,Truck,60,7.72,429,3293.34,55.78
Haiti,Air,30,3.19,1772,11656.59,110.8
Côte dIvoire,Air,60,1.4,176,1653.99,4.78
Nigeria,Air Charter,30,4.22,5712,18495.9,696.3
"Congo, DRC",Air,60,7.72,3637,25634.47,13.25
Burundi,Air,30,3.33,336,4385.44,16.61
Zambia,Air,25,20.0,157,1754.04,19.6
"Congo, DRC",Air,240,1.95,512,3438.2,2.98
"Congo, DRC",Air,60,2.33,4,491.42,0.22
Ethiopia,Air,30,13.0,257,2325.62,80.97
Haiti,Air,60,6.77,124,976.44,8.47
Mozambique,Air,60,11.8,6036,3671.92,302.98
Uganda,Air,30,3.81,234,2154.1,14.42
Haiti,Air,60,2.49,30,1180.73,1.18
Uganda,Air,60,11.22,1642,15347.04,193.52
Vietnam,Air,60,14.49,42,4388.84,9.75
Ethiopia,Air,1,24.5,5020,78813.53,189.58
Rwanda,Air,20,32.0,320,3100.66,60.4
Uganda,Air,120,82.07,16,375.0,11.24
"Congo, DRC",Air,300,30.82,56,460.9,1.14
Nigeria,Air,100,89.0,1235,25577.15,342.39
Tanzania,Air,60,11.09,2069,9716.76,228.01
Uganda,Air,60,8.1,5714,20416.03,395.27
South Sudan,Air,60,2.22,513,4934.43,0.84
Zambia,Truck,60,2.9,3254,8104.79,168.72
Mozambique,Air,100,80.0,1298,13146.21,283.32
Zambia,Truck,240,1.95,12360,11292.05,129.11
Botswana,Air,1,24.5,1111,8542.94,54.96
Uganda,Truck,30,6.08,460,3571.6,58.04
Nigeria,Air,120,41.1,27,1058.0,6.18
Uganda,Air,30,1.25,575,3231.11,14.0
Angola,Air,100,80.0,865,13790.1,310.46
Nigeria,Air,60,1.55,555,10575.63,2.11
Ethiopia,Air,30,6.57,542,3935.92,65.26
Rwanda,Air,1,24.5,2733,36060.0,103.24
Guyana,Air,120,19.71,298,4353.04,20.89
Côte dIvoire,Truck,30,4.0,243,2180.32,29.69
Mozambique,Truck,30,13.49,517,708.23,79.39
Tanzania,Air,100,80.0,662,12035.47,155.57
Uganda,Air,30,11.75,301,4758.36,17.81
Ethiopia,Air,30,13.0,236,1131.48,72.87
Nigeria,Air,100,89.0,1234,21084.84,334.46
Vietnam,Air,120,60.82,499,1467.82,125.05
Cameroon,Air,100,80.0,2020,29918.58,494.8
Haiti,Air,60,8.76,2359,26714.63,443.39
Tanzania,Truck,240,1.95,7096,3279.29,61.22
Rwanda,Truck,30,4.64,3703,8469.67,13.67
Rwanda,Air,60,11.22,2930,42573.95,604.76
"Congo, DRC",Air,20,36.52,96,1906.7,20.48
Nigeria,Air Charter,120,20.22,9966,49199.75,1011.37
Nigeria,Air,100,89.0,1303,29251.24,342.39
Uganda,Air,60,6.85,62,1060.22,4.12
Nigeria,Air,20,29.0,592,2951.78,88.52
Kenya,Air,20,32.0,682,7258.89,125.44
Nigeria,Air Charter,30,19.92,174,9736.1,68.29
Nigeria,Air,100,79.99,861,12770.05,383.95
Vietnam,Air,60,8.61,3509,12835.2,100.65
Zambia,Truck,30,4.7,9530,16468.54,104.02
Côte dIvoire,Truck,60,4.6,2732,10680.14,32.4
Uganda,Ocean,60,6.49,858,10833.06,79.38
Nigeria,Air Charter,30,10.87,5977,29674.92,543.35
Burundi,Air,120,20.04,53,1621.53,4.12
Rwanda,Air,30,4.13,3720,35499.58,388.73
Guyana,Air,100,72.0,60,1097.78,49.53
South Sudan,Air,20,32.0,164,1871.07,16.95
Zambia,Truck,60,6.52,11342,15715.08,478.41
Guyana,Air,240,2.1,171,2522.76,0.6
South Africa,Air,240,3.15,7349,4876.34,129.38
Nigeria,Air,720,42.0,1725,11954.71,147.21
Nigeria,Air Charter,90,5.5,1505,10060.0,57.84
Mozambique,Truck,30,13.52,227,227.19,35.51
Zambia,Truck,30,12.01,4247,8231.95,96.08
Haiti,Air,60,2.91,404,5866.29,46.2
Zambia,Truck,60,3.4,2717,4060.55,193.33
Namibia,Air,30,4.62,2630,12463.74,114.44
"Congo, DRC",Air,240,1.95,2572,16754.32,14.55
Vietnam,Air,30,3.25,622,1226.11,29.13
Uganda,Air,30,18.0,237,1794.89,37.63
Nigeria,Air Charter,60,8.76,1084,11637.65,205.16
Nigeria,Air Charter,30,19.92,2181,20264.93,858.95
Uganda,Air,120,20.22,2638,13508.98,326.16
Guyana,Air,90,9.3,7,4317.96,1.13
Nigeria,Air,100,89.0,1186,24927.19,342.39
Zambia,Air,240,1.8,3637,9499.46,29.7
Tanzania,Air,336,38.36,146,4701.1,27.71
Côte dIvoire,Air,25,20.5,468,5372.87,35.5
Zambia,Air,60,4.3,5999,25383.34,422.0
Zambia,Truck,60,8.26,17967,21180.7,2402.9
Zambia,Truck,60,2.22,4067,14050.13,219.88
South Africa,Air,60,7.43,458,1697.9,134.02
Mali,Air,25,95.0,9,779.06,2.35
Haiti,Air,1,24.5,1130,10893.85,46.14
Côte dIvoire,Truck,30,3.33,3591,21593.88,116.72
